course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021,points_r1_2020,points_r2_2020,eos_mid_2020,test/interview_2020,eos_mid_2019,eos_2019
AL838,Biotechnology,324,,434,,307,,356,,372 ,302 
AL839,Microbiology,325,,408,,325,,393,,371 ,322 
AL840,Pharmaceutical Sciences,346,,402,,347,,403,,411 ,328 
AL841,Athletic and Rehabilitation Therapy,477,476,489,,430,,465,,430 ,423 
AL842,Bioveterinary Science,338,,413,,313,,383,,366 ,310 
AL843,Physical Activity and Health Science,306,,358,,306,,326,,330 ,310 
AL849,Culinary Entrepreneurship,297,,327,,,,,,,
AL850,Business,309,,369,,309,,377,,356 ,307 
AL851,Business and Law,302,,357,,295,,351,,341 ,301 
AL852,Accounting,336,,466,,309,,422,,346 ,290 
AL854,Sport Management (with international placement),300,299,349,,302,299,338,,,
AL855,Hospitality Management (with international placement),309,,378,,308,,347,,357 ,312 
AL857,Digital Marketing,304,,398,,304,,332,,360 ,300 
AL859,International Business,308,,371,,,,,,,
AL860,Social Care Practice,301,,359,,300,,348,,338 ,309 
AL861,Animation and Illustration (portfolio),575,,760,#,578,,878,#,899 ,#615 
AL863,Graphic and Digital Design (portfolio),747,,808,#,781,,824,#,898 ,#703 
AL864,Early Years Care and Education,306,,366,,307,,346,,348 ,307 
AL870,Applied Psychology,484,467,480,,418,,444,,445 ,409 
CW006,Business,171,157,281,,AQA,AQA,254,,,
CW018,Business (options),307,,381,,298,248,312,,349 ,327 
CW027,Sustainable Farm Management and Agribusiness,236,222,342,,266,,360,,,
CW028,Early Childhood Education and Care,260,,378,,252,,301,,308 ,252 
CW037,Business (options),279,,429,,195,,400,#,,
CW038,Art (portfolio),#700,,700,#,700,,700,#,700 ,#700 
CW047,Visual Communications and Design,241,,372,,214,181,336,,,
CW048,Creative Computing and Digital Innovation,,,0,,,,,,,
CW057,Art (portfolio),#700,,700,#,700,,700,#,,
CW058,Tourism and Event Management,292,,356,,298,,348,,262 ,252 
CW068,Applied Social Studies in Professional Social Care,250,,306,,245,,292,,280 ,251 
CW077,Tourism and Event Management,223,,398,,217,,311,,,
CW078,Sustainable Farm Management and Agribusiness,270,,363,,269,,327,,320 ,266 
CW087,Creative Computing and Digital Innovation,,,0,,,,,,,
CW088,Visual Communications and Design,270,,290,,274,,340,,345 ,309 
CW106,Physiology and Health Science,451,,528,,451,,509,,,
CW107,Analytical Science,261,,466,,277,,445,,,
CW108,Science (options),266,,361,,261,,346,,326 ,261 
CW116,Pharmacy Technician Studies,224,,376,,250,,388,,,
CW117,Biosciences,215,,445,,205,,380,,,
CW126,Science - Applied Biology or Applied Chemistry,251,,408,,191,,424,,,
CW128,Brewing and Distilling,307,,349,,263,,318,,298 ,271 
CW138,Sport and Exercise Science,430,423,462,,423,,444,,,
CW148,Strength and Conditioning,388,,409,,379,,400,,,
CW188,Sport Rehabilitation and Athletic Therapy,451,,488,,451,448,466,,473 ,454 
CW206,Computing - Applications or Programming,236,,299,,235,,369,,,
CW207,Software Development,245,,395,,244,,329,,,
CW208,Computer Games Development,272,,333,,279,,327,,338 ,281 
CW217,Information Technology Management,269,,368,,234,,377,,,
CW227,Cybercrime and IT Security,220,,360,,233,,357,,,
CW237,Computing in Interactive Digital Art and Design,227,,378,,212,,337,,,
CW238,Software Development,295,,387,,297,,341,,343 ,300 
CW248,Information Technology Management,293,,338,,285,,385,,357 ,307 
CW258,Cybercrime and IT Security,292,,382,,293,,358,,328 ,300 
CW268,Computing in Interactive Digital Art and Design,291,,384,,287,,369,,321 ,274 
CW407,Architectural Technology,234,,369,,188,,358,,,
CW417,Construction Management with Building Services,225,205,361,,220,,322,,,
CW427,Civil Engineering,208,,346,,199,,347,,,
CW438,Construction (options),260,251,336,,272,,336,,308 ,271 
CW468,Architectural Technology,291,283,353,,262,,358,,290 ,252 
CW478,Civil Engineering,465,,465,,433,,492,,383 ,348 
CW507,Aircraft Systems,293,,408,,293,,399,,,
CW517,Mechanical Engineering,290,280,400,,276,,371,,,
CW527,Electronic Engineering,226,,371,,227,,357,,,
CW547,TV and Media Production,303,,382,,301,,413,,,
CW548,Mechanical Engineering,330,328,396,,321,,371,,351 ,310 
CW558,Electronic Systems,280,,380,,280,,361,,338 ,279 
CW568,Aerospace Engineering,371,359,433,,380,,442,,422 ,366 
CW578,TV and Media Production,318,,358,,325,,420,,361 ,327 
CW706,Legal Studies,174,,357,,163,,377,,,
CW707,Industrial Design,241,,478,,207,,380,#,,
CW708,Law - LLB,292,,390,,302,,349,,328 ,298 
CW717,Professional Social Care Practice,271,262,360,,288,,347,#,,
CW728,Product Design Innovation,246,,370,,252,,359,,355 ,286 
CW748,Early Childhood Education and Care,290,,377,,270,,327,,338 ,265 
CW758,Professional Social Care Practice,360,358,397,,336,,358,,319 ,290 
CW807,Sport Coaching and Business Management - GAA (portfolio),700,,700,#,700,,700,#,,
CW808,Media and Public Relations,247,,316,,251,,298,,307 ,248 
CW817,Sport Coaching and Business Management - Rugby (portfolio),700,,700,#,700,,700,#,,
CW827,Sport Coaching and Business Management - Soccer (portfolio),700,,700,#,700,,700,#,,
CW837,Digital Marketing with Analytics,215,,349,,200,,356,,,
CW848,Digital Marketing with Analytics,269,,336,,254,,326,,307 ,279 
CW858,"Sports Management and Coaching (options, portfolio)",700,,700,#,700,,700,#,700 ,#700 
CW906,Business,164,,309,,177,,297,,,
CW908,Business (options),272,,348,,280,,357,,307 ,260 
CW917,Business (options),228,,387,,224,,378,,,
CW926,Business with Law,204,,440,,210,,409,,,
CW936,Accounting,207,,442,,231,,403,,,
CW938,Business with Law,270,,382,,283,,301,,288 ,270 
CW948,Accounting,319,,454,,300,,364,,408 ,301 
PC402,Arts and Humanities,203,113,418,,200,121,368,,,
PC404,Applied Social Studies - Professional Social Care,200,100,270,,217,197,269,,,
PC405,"Social, Political and Community Studies",263,235,298,,253,216,311,,296 ,251 
PC410,Arts and Humanities (fulfils Teaching Council requirements),262,230,336,,252,209,300,,289 ,203 
PC411,English and History (fulfils Teaching Council requirements),243,224,356,,255,209,310,,289 ,168 
CR001,Applied Physics and Instrumentation,292,,498,,250,,487,,,
CR006,Applied Biosciences,420,,521,,361,,489,,,
CR007,Analytical and Pharmaceutical Chemistry,272,,531,,240,,487,,,
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College and 3 days in CI,336,,453,,321,,422,,,
CR016,Software Development,351,,445,,307,,413,,,
CR021,Business (Common Entry),253,,451,,255,,433,,,
CR022,Business Administration,172,,348,,190,,336,,,
CR031,Social Care Work,360,,440,,346,,411,,,
CR032,Recreation and Leisure Management,343,,422,,298,,378,,,
CR035,Community Development,133,,337,,100,,251,,,
CR041,Tourism Management,212,180,343,,216,,399,,,
CR042,Hospitality Management,205,,356,,208,,316,,,
CR046,Automotive Technology and Management,227,,368,,216,,337,,,
CR051,Civil Engineering,261,,431,,248,,451,,,
CR052,Construction,270,,368,,251,,367,,,
CR053,Interior Architecture,375,,463,,308,,434,,,
CR055,Environmental Engineering,297,,476,,258,,409,,,
CR061,Electronic Engineering,300,,465,,260,,444,,,
CR062,Electrical Engineering,320,,413,,300,,401,,,
CR071,Mechanical Engineering,263,,475,,261,,444,,,
CR075,Biomedical Engineering,315,,509,,306,,498,,,
CR090,Architectural Technology,308,,475,,266,,411,,,
CR094,Nautical Science at National Maritime College of Ireland,256,,404,,243,,380,,,
CR095,Marine Engineering at National Maritime College of Ireland,234,,441,,255,,389,,,
CR105,Chemical and Biopharmaceutical Engineering,443,,532,,443,,532,,498 ,432 
CR106,Software Development,431,,476,,411,,463,,393 ,351 
CR108,Mechanical Engineering,434,,509,,434,,509,,487 ,425 
CR109,Structural Engineering,396,,465,,394,,423,,467 ,341 
CR110,Automotive Business Management and Technology,336,,388,,311,,362,,347 ,318 
CR112,Creative Digital Media at CIT Crawford College of Art and Design,390,,455,,361,,430,,389 ,335 
CR116,Computer Systems,365,,400,,332,,393,,381 ,318 
CR121,Music at CIT Cork School of Music,904,904,1141,#,868,,1078,#,1052 ,#633 
CR125,Popular Music at CIT Cork School of Music,1028,,1029,#,1088,,1088,#,1021 ,#972 
CR130,Musical Theatre at CIT Cork School of Music,525,,600,#,548,518,600,#,600 ,#500 
CR150,Business Information Systems,350,,409,,335,,391,,371 ,326 
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",450,,450,#,#+matric,,#+matric,#,979 ,#979 
CR220,Fine Art at CIT Crawford College of Art and Design,400,,400,#,#+matric,,#+matric,#,819 ,#620 
CR225,Photography with New Media at CIT Crawford College of Art and Design,435,,560,#,#+matric,,#+matric,#,920 ,#920 
CR300,Physical Sciences (Common Entry),260,,565,,282,,476,,,
CR305,Physical Sciences (Common Entry),260,,357,,282,,356,,309 ,279 
CR310,IT Management,347,,372,,297,,339,,317 ,282 
CR320,Biomedical Science - Offered jointly by CIT and UCC,590,,601,,565,,577,,556 ,546 
CR325,Pharmaceutical Biotechnology,466,,488,,398,,440,,422 ,388 
CR333,Nutrition and Health Science,425,,455,,402,,433,,393 ,360 
CR335,Biological Sciences (Common Entry),473,,507,,420,,451,,419 ,381 
CR340,Analytical Chemistry with Quality Assurance,327,,400,,251,,366,,315 ,288 
CR360,Instrument Engineering,301,,378,,261,,388,,329 ,291 
CR365,Environmental Science and Sustainable Technology,262,,347,,253,,341,,362 ,334 
CR370,Agri-Biosciences,368,,423,,397,,453,,431 ,408 
CR400,Accounting,315,,423,,316,,413,,389 ,316 
CR420,Marketing,290,,357,,285,,346,,329 ,288 
CR425,International Business with Language,279,,419,,298,,412,,392 ,300 
CR430,Sport and Exercise Management,402,,434,,322,,407,,,
CR440,Montessori Education,409,408,431,,288,,362,,,
CR500,Engineering (Common Entry),475,,499,,411,,465,,424 ,381 
CR510,Sustainable Energy Engineering,320,,393,,320,,389,,343 ,319 
CR520,Biomedical Engineering,444,,498,,444,,488,,477 ,434 
CR560,Architectural Technology,375,,436,,308,,377,,332 ,288 
CR565,Interior Architecture,431,,465,,359,,423,,390 ,336 
CR570,Quantity Surveying,375,,429,,336,,392,,342 ,279 
CR572,Construction Management,300,,349,,269,,318,,300 ,253 
CR580,Electrical Engineering,342,,401,,318,,377,,374 ,344 
CR590,Electronic Engineering,329,,409,,303,,379,,411 ,342 
CR600,Visual Communications at CIT Crawford College of Art and Design,280,,510,#,#+matric,,#+matric,#,888 ,#587 
CR620,Early Childhood Education and Care,397,377,466,,365,357,454,,,
CR640,Culinary Arts,220,178,399,,244,,392,,,
CR650,Beverage Industry Management,193,162,367,,209,,316,,,
CR655,Culinary Studies,196,113,320,,189,,290,,,
CR657,Hospitality Studies,171,,261,,180,163,198,,,
CR660,Tourism Management,246,,328,,252,,325,,290 ,249 
CR700,Theatre and Drama Studies at CIT Cork School of Music,609,609,894,#,740,645,982,#,906 ,#768 
CR805,Marine Electrotechnology at National Maritime College of Ireland,229,,445,,235,,326,,,
CR888,Information Technology,300,,391,,290,,372,,,
CR930,Home Economics and Business,518,,542,,,,,,,
CK101,Arts - 3 years,300,,400,,300,,388,,368 ,300 
CK102,Social Science,434,431,462,,412,,451,,431 ,391 
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),339,,485,#,302,,435,#,409 ,#340 
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),421,420,488,,368,337,418,,442 ,397 
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),312,,425,,328,,388,,388 ,326 
CK108,Arts International - 4 years,440,440,487,,401,,466,,466 ,429 
CK109,English - 3 years or 4 years (International Pathway),367,357,462,,318,,441,,423 ,347 
CK110,World Languages,488,,522,,452,433,506,,506 ,456 
CK111,Early Years and Childhood Studies,409,403,445,,419,,451,,429 ,398 
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),371,,533,#,330,,434,#,470 ,#324 
CK113,Criminology - 3 years or 4 years (International Pathway),464,463,486,,423,,463,,430 ,408 
CK114,Social Science (Youth and Community Work),#,,,#,,,,#,,# 
CK115,Social Work - Mature Applicants only,,,,,,,,,,# 
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),347,339,444,,336,,378,,361 ,307 
CK120,Applied Psychology,544,543,555,,533,532,555,,532 ,506 
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),499,488,522,,466,,496,,466 ,393 
CK122,Government and Political Science,399,,465,,337,328,403,,410 ,355 
CK123,Anthropology,308,,429,,308,,410,,,
CK124,Education - Gaeilge,473,,522,,463,462,495,,,
CK125,Sports Studies and Physical Education,564,555,589,,510,509,532,,,
CK201,Commerce,500,499,532,,477,,509,,489 ,465* 
CK202,Accounting,553,543,566,,509,,542,,506 ,467 
CK203,Business Information Systems,455,452,490,,430,,467,,444 ,409 
CK204,Finance,566,566,601,,556,,590,,555 ,531 
CK205,Commerce (International) with French,465,,522,,445,,495,,473 ,409 
CK206,Commerce (International) with German,466,455,521,,420,418,476,,446 ,408 
CK207,Commerce (International) with Italian,423,418,441,,388,,455,,425 ,408 
CK208,Commerce (International) with Hispanic Studies,488,486,528,,402,,484,,455 ,431 
CK209,Commerce (International) with Irish,507,,534,,484,,531,,528 ,509 
CK211,Commerce (International) with Chinese Studies,385,,477,,397,,433,,420 ,398 
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,445,444,474,,444,,473,,429 ,400 
CK213,Food Marketing and Entrepreneurship,466,,498,,462,,476,,,
CK214,International Development,332,,451,,346,,422,,,
CK301,Law (Pathways) -  3 or 4 years,533,532,556,,507,499,531,,519 ,476 
CK302,Law and French,545,,564,,542,,576,,531 ,453 
CK304,Law and Irish,588,,601,,540,,565,,510 ,462 
CK307,Law and Business,589,589,601,,556,,589,,554 ,522 
CK401,Computer Science,503,495,531,,468,,509,,456 ,402 
CK402,Biological and Chemical Sciences,555,555,577,,510,509,532,,520 ,498 
CK404,"Biological, Earth and Environmental Sciences",500,495,521,,467,,498,,451 ,412 
CK405,Genetics,543,,554,,487,,498,,496 ,476 
CK406,Chemical Sciences,532,,554,,485,472,494,,488 ,457 
CK407,Mathematical Sciences,566,,601,,566,565,601,,578 ,531 
CK408,Physics and Astrophysics,566,,601,,554,542,589,,566 ,511 
CK409,Industrial Physics - Offered jointly by UCC and CIT,465,,509,,432,,499,,532 ,413 
CK411,Data Science and Analytics,531,,577,,510,,554,,542 ,509 
CK412,Agricultural Science,506,,544,,496,496,510,,509 ,457 
CK504,Nutritional Sciences,555,554,566,,518,,554,,509 ,492 
CK505,Food Science,463,,489,,441,440,465,,477 ,444 
CK600,Engineering,510,509,555,,487,,532,,532 ,465 
CK606,Architecture - Offered jointly by UCC and CIT,543,,565,,484,476,510,,496 ,465 
CK701,Medicine (Undergraduate Entry - HPAT required),738,737,743,#,731,,739,#,740 ,#729 
CK702,Dentistry,625,625,625,,613,613,613,,613 ,590 
CK703,Pharmacy,613,613,625,,590,589,602,,589 ,577 
CK704,Occupational Therapy,601,,602,,566,555,577,,554 ,532* 
CK705,Speech and Language Therapy,568,566,589,,520,,541,,529 ,509 
CK706,Public Health Sciences,500,,532,,454,,477,,451 ,419 
CK707,Medical and Health Sciences,578,,601,,542,541,555,,543 ,510* 
CK710,General Nursing,498,497,519,,454,,477,,466 ,440 
CK712,Children`s and General Nursing (Integrated),565,,578,,533,,553,,520 ,499 
CK720,Mental Health Nursing,455,452,467,,423,,440,,429 ,398 
CK730,Intellectual Disability Nursing,431,,451,,419,411,433,,388 ,359 
CK740,Midwifery,509,,543,,484,,507,,474 ,444 
CK791,Medicine  - Graduate Entry (GAMSAT required),60,60,61,#,57,,58,#,59 ,#58* 
AC120,International Business,294,294,352,,209,,280,,269 ,234 
AC137,Liberal Arts,271,270,334,,252,,270,,275 ,252 
CT125,Computing and IT,242,242,334,,220,,299,,280 ,235 
CT325,Business,253,253,337,,338,,338,,,
CM001,Education - Primary Teaching,508,,518,,484,,487,,462 ,452* 
CM002,Education - Primary Teaching - Gaeltacht Applicants,462,,506,#,,,,#,440 ,#421 
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,513,,546,#,528,,570,#,506 ,#491 
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),480,,618,#,494,,513,#,569 ,#492 
CM010,Education Studies,382,327,440,,319,,407,,373 ,317 
CM020,Early Childhood Education,317,,377,,327,,390,,363 ,336 
DS602,Higher Certificate in Science in Computing Level 6 (2 years),120,,403,,,,367,,,
DS701,Bachelor of Business Level 7 (3 years),136,,316,,,,299,,,
DS702,BSc in Computing Level 7 (3 years),136,,309,,,,413,,,
DB500,Computing,234,234,333,,218,218,301,,320 ,242 
DB501,Computing (Cloud Computing),,178,309,,227,227,280,,329 ,326 
DB502,Computing (Data Analytics and Big Data),267,233,351,,341,341,377,,269 ,269 
DB503,Computing (Software Development),,,0,,225,225,281,,282 ,242 
DB504,Computing (Web and Mobile Technology),,,0,,,281,281,,269 ,227 
DB510,Audio Production and Music Project Management,217,217,317,,234,223,290,,293 ,233 
DB512,Business Studies,243,210,347,,218,203,308,,301 ,229 
DB514,Business Studies (Law),239,225,346,,252,,270,,337 ,269 
DB515,Business Studies (Human Resource Management),242,217,318,,244,244,326,,288 ,225 
DB517,Marketing (Event Management),233,225,336,,238,,309,,327 ,226 
DB518,Marketing (Digital Media),307,209,354,,,,,,289 ,210 
DB521,Accounting and Finance,243,228,379,,225,195,318,,271 ,225 
DB524,Business (Information Systems),247,239,327,,342,309,409,,402 ,402 
DB525,Marketing (Digital Media and Cloud Computing),288,288,337,,,,,,309 ,284 
DB526,Business (Cloud Computing),244,244,327,,347,,423,,288 ,253 
DB527,Applied Social Care,254,219,308,,234,260,306,,288 ,235 
DB528,Applied Social Care,146,104,321,,AQA,AQA,337,,,
DB531,Marketing,288,176,368,,293,,336,,288 ,220 
DB534,Sound Engineering and Music Production,139,139,357,,AQA,AQA,338,,,
DB562,Psychology,244,233,342,,243,229,322,,310 ,208 
DB563,Arts,143,143,414,,161,189,357,,,
DB566,Social Science,262,228,319,,220,227,290,,308 ,216 
DB567,Film and Creative Media,245,213,298,,218,202,290,,295 ,192 
DB568,Law,254,228,347,,219,252,309,,308 ,245 
DB569,Business (Psychology),240,240,338,,252,,284,,338 ,279 
DB571,Business Studies,113,113,462,,173,211,398,,,
DB572,Business (Accounting),141,141,464,,119,117,368,,,
DB573,Business (Marketing),169,137,367,,117,146,388,,,
DB574,Business (Information Technology),173,173,339,,136,388,388,,,
DB576,Film and Creative Media,101,101,399,,AQA,AQA,338,,,
DC001,Education - Early Childhood Education,445,,474,,440,,462,,424 ,398 
DC002,Education - Primary Teaching,518,,543,,488,,520,,485 ,462* 
DC003,Education - Primary Teaching - Gaeltacht Applicants,489,,509,#,445,,462,#,473 ,#433 
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),451,,,#,411,409,463,#,,#357 
DC009,Arts (Joint Honours) - Humanities,356,,431,,376,,423,,408 ,347 
DC010,Post Primary Teacher Education - Religious Education and English,384,,441,,441,429,465,,413 ,386 
DC011,Post Primary Teacher Education - Religious Education and History,409,,455,,412,391,429,,389 ,352 
DC012,Post Primary Teacher Education - Religious Education and Music,409,,451,#,378,,420,#,415 ,#367 
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,413,,510,,419,,487,,509 ,410 
DC014,BA in Jazz and Contemporary Music Performance (audition),311,,634,#,419,,605,#,590 ,#428 
DC110,Business Studies International,498,,526,#,465,,488,,462 ,440 
DC111,Business Studies,511,,532,,488,,507,,479 ,463 
DC112,Global Business (France),542,,564,,517,510,532,,510 ,495 
DC113,Global Business (Germany),484,,529,,462,,496,,476 ,440 
DC114,Global Business (Spain),544,,562,,522,,545,,543 ,501 
DC115,Accounting and Finance,544,,578,,510,,544,,500 ,487 
DC116,Global Business (USA),613,,625,,579,,601,,589 ,578 
DC117,Aviation Management / Aviation Management with Pilot Studies,484,,520,,476,475,500,,487 ,463 
DC118,Gnó agus Gaeilge / Business and Irish,368,,419,,359,,429,,399 ,357 
DC119,Global Business (Canada),601,,601,,564,,577,,577 ,566 
DC120,Computing for Business,403,402,440,,357,,392,,389 ,350 
DC121,Computer Science,475,,498,,400,,455,,418 ,370 
DC123,Data Science,501,,542,,465,,531,,511 ,467 
DC126,Actuarial Mathematics,577,,601,,560,,578,,543 ,520 
DC127,Common Entry into Actuarial and Financial Mathematics,541,,566,,532,520,543,,531 ,509 
DC131,Communication Studies,421,,479,,407,402,451,,441 ,400 
DC132,Journalism,452,,487,,429,422,466,,440 ,401 
DC133,Multimedia,435,,473,,411,410,451,,451 ,403 
DC155,Applied Language and Translation Studies,427,,476,,387,,444,,430 ,371 
DC161,Analytical Science,498,,521,,498,489,510,,463 ,446 
DC162,Chemical and Pharmaceutical Sciences,531,,543,,521,,544,,498 ,488 
DC163,Chemical Sciences General Entry (Undenominated Entry),466,,510,,,,,,,
DC166,Environmental Science and Technology,423,,466,,433,399,441,,442 ,412 
DC168,Genetics and Cell Biology,543,,555,,512,510,529,,500 ,489 
DC175,Physics General Entry (options),400,,479,,419,402,467,,,
DC180,Biological Sciences General Entry (Undenominated Entry),530,,543,,,,,,,
DC181,Biotechnology,530,,544,,499,495,511,,488 ,476 
DC190,Electronic and Computer Engineering (with choice of four majors),488,,532,,413,,465,,433 ,391 
DC193,Mechatronic Engineering,490,,532,,411,,487,,445 ,404 
DC194,Sustainable Systems and Energy,476,,509,,,,,,,
DC195,Mechanical and Manufacturing Engineering,500,,521,,425,,487,,444 ,401 
DC197,Biomedical Engineering,510,,543,,423,,477,,446 ,402 
DC200,Common Entry into Engineering (Undenominated Entry),511,510,543,,422,,487,,444 ,381 
DC202,Sport Science and Health,511,,532,,500,498,521,,476 ,467 
DC203,Science Education,462,,509,,435,,487,,476 ,424 
DC204,Athletic Therapy and Training,558,,578,,522,519,533,,500 ,484 
DC205,Physical Education with Biology,565,,578,,531,,553,,521 ,490 
DC206,Physical Education with Mathematics,521,,544,,499,,520,,476 ,443 
DC207,Psychology and Mathematics,521,,543,,,,,,,
DC208,Psychology,565,,577,,532,521,533,,521 ,509 
DC209,Health and Society,477,,509,,465,440,466,,440 ,419 
DC210,Psychology and Disruptive Technologies,506,,532,,,,,,,
DC215,General Nursing,456,,485,,454,433,462,,443 ,414 
DC216,Mental Health Nursing,420,,440,,418,403,424,,389 ,368 
DC217,Intellectual Disability Nursing,382,,402,,370,,390,,362 ,347 
DC218,Children`s and General Nursing (Integrated),521,,554,,500,498,522,,480 ,467 
DC230,"Economics, Politics and Law",431,,468,,435,,462,,431 ,400 
DC231,International Relations,398,,458,,397,,433,,445 ,387 
DC232,Law and Society (BCL),469,,511,,466,,496,,487 ,453 
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),302,,370,,309,,357,,327 ,307 
DC238,Social Sciences and Cultural Innovation,387,,440,,377,,411,,388 ,358 
DC240,"Marketing, Innovation and Technology",499,,532,,476,474,498,,474 ,451 
DC241,Digital Business and Innovation,509,,533,,,,,,,
DC291,Arts (Joint Honours) - Media Studies,350,,440,,376,,409,,392 ,349 
DC292,Arts (Joint Honours) - Law,400,,440,,403,,430,,388 ,356 
DC293,Arts (Joint Honours) - International Languages,379,,467,,377,,466,,400 ,369 
DC294,Climate and Environmental Sustainability,475,,489,,,,,,,
