,course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021
511,DN450,General Nursing                                   ,462*,,490,
512,DN451,Children`s and General Nursing (Integrated)       ,533,,554,
513,DN452,Midwifery                                         ,510,509*,511,
514,DN453,Mental Health Nursing                             ,442,,451,
515,DN520,Joint Honours (options)                           ,381,378,445,
516,DN530,Humanities (options)                              ,397,388,465,
517,DN541,Modern Languages (options)                        ,320,,423,
518,DN600,Law (options)                                     ,576,567*,588,
519,DN610,Business and Law                                  ,573,567,589,
520,DN650,Commerce                                          ,555,,567,
521,DN660,Commerce International (options)                  ,555,554*,567,
522,DN670,Economics and Finance                             ,625*,625,625,
523,DN700,Social Sciences (options)                         ,475,474,509,
524,DN710,Economics                                         ,534,532*,544,
525,DN720,Psychology                                        ,566,564,577,
526,DN750,Social Policy and Sociology                       ,421,,441,
527,DK810,Accounting and Finance                            ,307,307,399,
528,DK816,Business Studies                                  ,301,301,382,
529,DK820,Computing in Games Development                    ,309,309,381,
530,DK821,Computing in Software Development                 ,320,316,379,
531,DK822,Augmented and Virtual Reality                     ,320,320,340,
532,DK830,Building Surveying                                ,305,,378,
533,DK831,Architectural Technology                          ,368,314,377,
534,DK832,Construction Management                           ,358,305,362,
535,DK843,Engineering (Common Entry)                        ,404,391,466,
536,DK844,Mechanical Engineering                            ,336,336,435,
537,DK845,Electrical and Electronic Engineering             ,331,331,434,
538,DK846,Civil Engineering                                 ,371,371,465,
539,DK850,International Tourism Management                  ,303,303,417,
540,DK861,Arts                                              ,302,302,347,
541,DK862,Social Care                                       ,322,319,348,
542,DK863,Creative Media                                    ,336,320,432,
543,DK864,Film and Television Production                    ,308,,399,
544,DK865,Audio and Music Production                        ,352,,404,
545,DK870,General Nursing                                   ,440*,440*,451,
546,DK872,Intellectual Disability Nursing                   ,367,366,368,
547,DK874,Mental Health Nursing                             ,398,,414,
548,DK876,Early Childhood Studies                           ,300,,357,
549,DK877,Midwifery                                         ,482,477,495,
550,DK880,Health and Physical Activity                      ,301,,397,
551,DK882,Agriculture (Award options)                       ,342,,402,
552,DK883,Science (Award options)                           ,373,368,384,
553,DK884,Sustainable Agriculture                           ,348,,397,
554,DK885,Agri-Food Production                              ,,,0,
555,DK886,Biopharmaceutical Science                         ,379,,388,
556,DK887,Environmental Science                             ,377,,440,
557,GA181,Accounting                                        ,303,,400,
558,GA182,Business                                          ,285,,369,
559,GA183,Business Information Systems                      ,298,,358,
560,GA184,Marketing and Sales                               ,300,,368,
561,GA185,Finance and Economics                             ,318,,378,
562,GA186,Business with Entrepreneurship                    ,287,,346,
563,GA187,Rural Enterprise and Agri-Business                ,291,,358,
564,GA281,Film and Documentary                              ,310,301,358,
565,GA282,Heritage Studies                                  ,252,,343,
566,GA283,Contemporary Art (portfolio)                      ,#790,,876,#
567,GA284,Design                                            ,331,,398,
568,GA285,Education (Art  Design and Graphics)              ,406,,442,
569,GA380,International Hotel Management                    ,218,,320,
570,GA381,International Tourism Management                  ,252,,317,
571,GA382,Culinary and Gastronomic Science                  ,235,,375,
572,GA384,Event Management with Public Relations            ,230,,340,
573,GA480,Construction Management                           ,302,,359,
574,GA482,Quantity Surveying and Construction Economics     ,304,,388,
575,GA483,Architectural Technology                          ,281,273,361,
576,GA484,Civil Engineering                                 ,377,,421,
577,GA580,Software and Electronic Engineering               ,300,,388,
578,GA680,Mechanical Engineering                            ,400,,455,
579,GA681,Energy Engineering                                ,312,,392,
580,GA682,Biomedical Engineering                            ,331,,413,
581,GA683,Agricultural Engineering                          ,304,,390,
582,GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413,,456,
583,GA685,Manufacturing Engineering Design                  ,336,,377,
584,GA780,Applied Freshwater and Marine Biology             ,366,,435,
585,GA781,Applied Biology and Biopharmaceutical Science     ,381,,442,
586,GA782,Chemical and Pharmaceutical Science               ,356,,398,
587,GA783,Physics and Instrumentation                       ,301,,387,
588,GA784,Science (Undenominated)                           ,445,,466,
589,GA785,Medical Science                                   ,517,510,532,
590,GA786,Forensic Science and Analysis                     ,408,,462,
591,GA787,Computing in Software Development                 ,310,,381,
592,GA788,Computing and Digital Media                       ,270,,314,
593,GA789,Agriculture and Environmental Management          ,340,,392,
594,GA790,Sport and Exercise Science                        ,376,366,431,
595,GA791,Public Health Nutrition                           ,368,,431,
596,GA880,General Nursing                                   ,440*,,455,
597,GA882,Psychiatric Nursing                               ,369,,398,
598,GA885,Outdoor Education                                 ,269,,360,
599,GA887,History and Geography                             ,201,,288,
600,GA889,Applied Social Care                               ,265,,339,
601,GA890,Early Childhood Education and Care                ,281,227,336,
602,GA891,Geography and Outdoor Education                   ,261,,366,
603,GA892,Community Development and Youth Work (Level 8)    ,,,0,
604,GA980,Education (Design Graphics and Construction)      ,410,,435,
605,GA981,Furniture Design and Manufacture                  ,346,,385,
606,GA982,Furniture Making and Architectural Woodworking    ,360,,402,
607,GA983,Furniture and Digital Manufacturing               ,,,0,
608,GA984,Furniture Design  Making and Technology - Common E,486,467,498,
609,GY101,Arts (Joint-Honours)                              ,327,326,423,
610,GY104,BSc (Psychology)                                  ,564,555,566,
611,GY105,Arts (History)                                    ,357,,424,
612,GY109,Arts (Mathematics and Education)                  ,413,,487,
613,GY110,Arts (Children and Youth Studies - options)       ,387,,440,
614,GY111,Arts (English and Creative Writing)               ,421,420,518,
615,GY113,Arts with Human Rights                            ,413,,477,
616,GY115,Arts with Performing Arts Studies                 ,300,,393,
617,GY118,Arts (Drama  Theatre and Performance Studies)     ,453,430,476,
618,GY119,Arts (Journalism)                                 ,484,473,521,
619,GY122,Na Dána (Cumarsáid agus Gaeilge)                  ,410,,496,
620,GY123,Applied Social Sciences                           ,419,,451,
621,GY125,Arts (Digital Arts and Technology)                ,403,,444,
622,GY127,Arts (Film and Digital Media)                     ,430,421,488,
623,GY128,Arts (Global Languages)                           ,346,,468,
624,GY129,Arts (Global Experience)                          ,465,,522,
625,GY130,Arts (Music)                                      ,462,,498,
626,GY132,Government (Politics  Economics and Law)          ,465,451,495,
627,GY133,Education (Computer Science and Mathematical Studi,454,,476,
628,GY134,Geography and Geosystems                          ,425,,476,
629,GY135,Arts (Global Media)                               ,442,,484,
630,GY136,Na Dána (Léann Teanga - options)                  ,526,,526,
631,GY201,Commerce                                          ,476,,499,
632,GY202,Commerce (International) with French              ,520,,548,
633,GY203,Commerce (International) with German              ,518,,532,
634,GY204,Commerce (International) with Spanish             ,506,,531,
635,GY206,Business Information Systems (Work Placement and O,509,,544,
636,GY207,Commerce (Accounting) including optional Global Ex,543,,578,
637,GY208,Commerce (Gaeilge)                                ,508,,547,
638,GY209,Commerce (Global Experience)                      ,551,,578,
639,GY250,Law and Business                                  ,510,,541,
640,GY251,Law (BCL)                                         ,542,,554,
641,GY252,Law (BCL) and Human Rights                        ,565,,567,
642,GY253,Law and Taxation                                  ,506,,531,
643,GY254,Law (BCL)  Criminology and Criminal Justice       ,548,,566,
644,GY261,Business Studies in International Hotel Management,#503,,647,#
645,GY262,Commerce in International Hotel Management (interv,#709,,743,#
646,GY301,Science                                           ,489,488,529,
647,GY303,Biomedical Science                                ,613,,613,
648,GY304,Biotechnology                                     ,498,495,522,
649,GY308,Environmental Science                             ,431,430,473,
650,GY309,Financial Mathematics and Economics               ,509,,565,
651,GY310,Marine Science                                    ,467,,499,
652,GY313,Environmental Health and Safety                   ,412,,452,
653,GY314,Earth and Ocean Sciences                          ,422,,463,
654,GY318,Biopharmaceutical Chemistry                       ,555,,581,
655,GY319,Mathematical Science                              ,543,,589,
656,GY320,Physics (Degree options: Applied Astrophysics Biom,465,,533,
657,GY321,Genetics and Genomics                             ,532,,565,
658,GY322,Agricultural Sciences                             ,485,,518,
659,GY350,Computer Science and Information Technology       ,495,,521,
660,GY401,Engineering (Undenominated)                       ,522,520,555,
661,GY402,Civil Engineering                                 ,533,521,545,
662,GY405,Mechanical Engineering                            ,541,,589,
663,GY406,Electronic and Computer Engineering               ,555,,566,
664,GY408,Biomedical Engineering                            ,554,,578,
665,GY410,Project and Construction Management               ,431,,455,
666,GY413,Energy Systems Engineering                        ,509,,543,
667,GY414,Electrical and Electronic Engineering             ,433,,476,
668,GY501,Medicine (five year/six year course  HPAT required,#737*,#737*,740,#
669,GY502,Occupational Therapy                              ,601,,602,
670,GY503,Speech and Language Therapy                       ,578,,590,
671,GY504,Podiatric Medicine                                ,531,526,533,
672,GY515,General Nursing (Galway and Portiuncula)          ,502,496,507,
673,GY516,Mental Health Nursing                             ,475,441,451,
674,GY517,Midwifery                                         ,520,509,532,
675,LY108,Business - Accounting                             ,312,,432,
676,LY118,Business                                          ,288,,387,
677,LY128,Marketing with Online Technologies                ,261,261,369,
678,LY208,Law                                               ,300,290,388,
679,LY228,Sports and Exercise - Common Entry                ,290,,379,
680,LY408,Design - Common Entry                             ,#301,,380,#
681,LY508,Fire Safety Engineering                           ,283,,352,
682,LY518,Quantity Surveying                                ,304,,387,
683,LY528,Construction Management                           ,262,,298,
684,LY538,Architectural Technology                          ,234,234,403,
685,LY608,Mechanical Engineering                            ,300,,390,
686,LY618,Electronic Engineering                            ,321,,368,
687,LY708,Applied Computing                                 ,320,,430,
688,LY748,Computer Science                                  ,316,,421,
689,LY818,Science - Common Entry                            ,302,,411,
690,LY828,Agriculture - Common Entry                        ,308,300,360,
691,LY908,General Nursing                                   ,429*,,441,
692,LY918,Psychiatric Nursing                               ,367*,,399,
693,LY928,Intellectual Disability Nursing                   ,357,,386,
694,LY968,Early Childhood Care  Health and Education        ,288,,380,
695,LY978,Health and Social Care - Common Entry             ,279,,347,
696,MI001,Contemporary and Applied Theatre Studies          ,209,,484,
697,MI002,Arts                                              ,280,,408,
698,MI004,Education - Primary Teaching - International      ,589,,601,
699,MI005,Education - Primary Teaching                      ,522,,554,
700,MI006,Education - Primary Teaching - Gaeltacht Applicant,#485,,522,#
701,MI007,Early Childhood Care and Education                ,409,,462,
702,MI008,Education and Psychology - Primary Teaching       ,590,,602,
703,MI009,Education  Business Studies and Accounting        ,434,,477,
704,MI010,Education  Business Studies and Religious Studies ,370,,412,
705,MI011,Education  Gaeilge and Religious Studies          ,407,,444,
706,MI012,Education  Gaeilge and Business Studies           ,387,,451,
707,MI013,Education  Mathematics and Gaeilge                ,509,,543,
708,MI014,Education  Mathematics and Business Studies       ,476,,531,
709,CI110,Counselling and Psychotherapy                     ,292,,368,
710,CI111,Counselling and Psychotherapy with Addiction Studi,290,,356,
711,CI112,Counselling and Psychotherapy with Youth Studies  ,325,,388,
712,LC110,Art and Design (Common Entry  portfolio)          ,#794,,981,#
713,LC114,Fashion and Textiles for Product and Costume (port,#914,,933,#
714,LC115,Art and Design Teacher Education (LIT and UL  port,#993,,1058,#
715,LC220,Digital Marketing                                 ,263,,322,
716,LC223,Law and Taxation                                  ,331,,410,
717,LC224,Accounting and Finance                            ,300,,356,
718,LC225,Marketing and Management                          ,298,,376,
719,LC226,Enterprise and Innovation                         ,255,,327,
720,LC233,Software Development                              ,280,,348,
721,LC234,Immersive Digital Media and Spatial Computing     ,226,,342,
722,LC236,Internet Systems Development                      ,260,,305,
723,LC239,Computer Networks and Systems Management          ,317,,378,
724,LC241,Construction Management                           ,326,,387,
725,LC242,Property Valuation and Management                 ,308,,377,
726,LC243,Quantity Surveying                                ,278,,359,
727,LC248,Built Environment (Common Entry)                  ,300,,357,
728,LC252,Civil Engineering Management                      ,264,,338,
729,LC263,Medical Technology                                ,391,,455,
730,LC265,Forensic and Pharmaceutical Sciences              ,498,,528,
731,LC266,Drug and Medicinal Product Analysis               ,252,,368,
732,LC275,Electrical Engineering                            ,361,347,382,
733,LC288,Mechanical Engineering                            ,378,369,432,
734,LC289,Precision Engineering                             ,261,,357,
735,LC292,Social Care Work                                  ,374,,410,
736,LC293,Business Studies with Travel and Tourism Managemen,271,264,356,
737,LC294,Business Studies with Event Management            ,279,,356,
738,LC295,Business Studies with Sports Management           ,262,,320,
739,LC297,Community and Addiction Studies                   ,272,262,316,
740,LC320,Business                                          ,381,,408,
741,LC330,Business with Computing                           ,328,308,367,
742,LC340,Interior Design                                   ,391,368,420,
743,LC362,Biotechnology and Biopharmaceutical Sciences      ,429,,463,
744,LC371,Creative Broadcast and Film Production            ,325,310,387,
745,LC372,Music Technology and Production                   ,377,,454,
746,LC374,Renewable and Electrical Energy Engineering       ,337,319,401,
747,LC375,Industrial Automation and Robotic Systems         ,309,,383,
748,LC376,Electronic Engineering with Computer Systems      ,357,,378,
749,LC380,Automotive Engineering and Transport Management   ,298,,340,
750,LC392,Business Studies in Beauty and Spa Management     ,328,317,358,
751,LC393,Early Childhood Education and Care                ,309,276,339,
752,LC402,Social Care Work                                  ,228,,306,
753,LC408,Environmental Science and Climate                 ,279,,347,
754,LC416,Business                                          ,260,,300,
755,LC418,Computing - Games Design and Development          ,260,256,320,
756,LC422,Applied Strength and Conditioning                 ,289,,359,
757,LC502,Game Art and Design (portfolio)                   ,#841,,1018,#
758,LC517,Creative Media and Design                         ,279,,413,
759,LC518,Digital Animation Production (portfolio)          ,#807,,977,#
760,LC612,Social Care Work                                  ,309,,348,
761,LM002,Arts                                              ,360*,360,423,
762,LM019,Social Sciences                                   ,451,,507,
763,LM020,Law and Accounting                                ,474,,520,
764,LM026,Performing Arts (audition format TBC)             ,#329,,451,#
765,LM028,Criminal Justice                                  ,420,,454,
766,LM029,Law Plus                                          ,530,,554,
767,LM038,Psychology and Sociology                          ,530,,533,
768,LM039,Journalism and Digital Communication              ,432,,473,
769,LM040,European Studies                                  ,409,,521,
770,LM044,Applied Languages                                 ,429,,485,
771,LM050,Business Studies (options)                        ,451,,489,
772,LM056,International Business                            ,555*,,589,
773,LM058,Financial Mathematics                             ,468,,531,
774,LM063,Technology Management                             ,410,,452,
775,LM066,Environmental Science                             ,430,,478,
776,LM068,Food Science and Health                           ,464*,,495,
777,LM076,Product Design and Technology (portfolio required),#401,,499,#
778,LM077,Aeronautical Engineering                          ,567,,601,
779,LM082,Construction Management and Engineering           ,446*,,480,
780,LM089,Sport and Exercise Sciences                       ,498*,,533,
781,LM090,Physical Education with concurrent Teacher Educati,552,544*,577,
782,LM091,Languages with concurrent Teacher Education       ,506,,541,
783,LM092,Science with Teacher Ed (Biology with Physics/Chem,521,,555,
784,LM093,Equine Science                                    ,367,,431,
785,LM094,Materials and Architectural Technology with concur,475,,501,
786,LM095,Materials and Engineering Technology with concurre,425,,452,
787,LM096,Science with Teacher Ed (Physical Sciences with Ch,454,,488,
788,LM097,Mathematics and Computer Science with concurrent T,465,,499,
789,LM099,Architecture                                      ,520,,543,#
790,LM100,Physiotherapy                                     ,613*,,613,
791,LM101,Medicine  - Graduate Entry (GAMSAT required)      ,#57*,,59,#
792,LM102,Psychology                                        ,534,,565,
793,LM103,Paramedic Studies (Full B/Provisional C1 Drivers L,#429,,455,#
794,LM105,Exercise and Health Fitness Management            ,441,,473,
795,LM115,Chemical and Biochemical Engineering              ,476,,520,
796,LM116,Engineering (Biomedical/Civil/Design and Manufactu,498*,,544,
797,LM118,Electronic and Computer Engineering               ,445,,487,
798,LM121,Computer Science (Computer Systems/Games Dev/Cyber,402,,461,
799,LM122,Creative Media and Interaction Design (Digital Des,382,,467,
800,LM123,Biological and Chemical Sc. (Biosci/Envir Sci/Ind ,498*,,533,
801,LM124,Mathematics (Math Science/Maths and Physics/Econom,455,,532,
802,LM125,Physics (Applied Physics or Mathematics and Physic,489,,577,
803,LM150,General Nursing                                   ,498*,487,496,
804,LM152,Mental Health Nursing                             ,478,466,476,
805,LM154,Intellectual Disability Nursing                   ,462,443,474,
806,LM156,Midwifery                                         ,521*,508,521,
807,MU001,Theology and Arts                                 ,294,294,332,
808,MU002,Theology                                          ,,,411,
809,MH001,Education - Primary Teaching (Froebel)            ,564,,578,
810,MH002,Education - Primary Teaching - Gaeltacht Applicant,,,,#
811,MH003,Early Childhood - Teaching and Learning (full-time,381,,430,
812,MH101,Arts                                              ,338,336,409,
813,MH103,Music                                             ,#,,#,#
814,MH106,Psychology - 3 years                              ,554,,555,
815,MH107,Social Science                                    ,390,,440,
816,MH109,Media Studies                                     ,324,,393,
817,MH116,Community and Youth Work (Full-Time)              ,#,,#,#
818,MH201,Science                                           ,401,400,456,
819,MH202,Biotechnology                                     ,490,489,509,
820,MH203,Biological and Geographical Sciences              ,451,,477,
821,MH204,Physics with Astrophysics                         ,422,,499,
822,MH206,Theoretical Physics and Mathematics               ,521,,578,
823,MH207,Data Science                                      ,444,,510,
824,MH208,Biological and Biomedical Sciences                ,543,,554,
825,MH209,Psychology (through Science) - 4 years            ,529,,531,
826,MH210,Pharmaceutical and Biomedical Chemistry           ,510,,532,
827,MH212,Science|Maths and Computer Science|Mathematics (wi,452,443,498,
828,MH304,Engineering (Computer/Electronic/Communications)  ,351,351,454,
829,MH305,Product Design                                    ,326,,397,
830,MH306,Robotics and Intelligent Devices                  ,362,,445,
831,MH401,Finance (options)                                 ,370,,418,
832,MH402,Quantitative Finance                              ,476,,521,
833,MH403,Accounting and Finance                            ,424,,473,
834,MH404,Business (options)                                ,441,,473,
835,MH407,Business and Accounting                           ,423,,473,
836,MH411,Entrepreneurship                                  ,378,,409,
837,MH501,LLB Law - four year Single Major Law programme    ,507,,531,
838,MH502,Law (options)                                     ,465,,498,
839,MH601,Computer Science through Arts (options)           ,381,,423,
840,MH602,Computer Science through Science (options)        ,400,,444,
841,MH603,Computational Thinking                            ,520,,579,
842,MH801,Early Childhood - Teaching and Learning (part-time,AQA,AQA,319,
843,MH802,Community and Youth Work (part-time  in service)  ,,#,,#
844,MH803,Local Studies/Community Studies (part-time  evenin,,#,,
845,AS001,Education  Home Economics and Biology - with concu,542,533,555,
846,AS002,Education  Home Economics and Religious Ed - with ,464,452*,476,
847,AS003,Education  Home Economics and Irish - with concurr,463*,457,487,
848,AS051,Nutrition  Food and Business Management           ,378,347,418,
849,AS054,Home Economics                                    ,440*,419*,430,
850,AS110,General Nursing                                   ,440*,432,445,
851,AS130,Intellectual Disability Nursing                   ,387,358,387,
852,SG141,Business                                          ,262,,346,
853,SG145,Business and ICT                                  ,279,,411,
854,SG146,Accounting                                        ,304,,403,
855,SG147,Sport with Business                               ,288,,340,
856,SG148,Tourism with Event Management                     ,298,,328,
857,SG150,Business in Marketing                             ,298,,360,
858,SG241,Performing Arts                                   ,341,,393,
859,SG242,Early Childhood Care and Education                ,287,,368,
860,SG243,Social Care Practice                              ,309,,357,
861,SG244,Fine Art                                          ,#501,,643,#
862,SG245,Creative Design                                   ,332,,357,
863,SG246,Computing                                         ,316,,402,
864,SG247,English and Psychology                            ,319,,357,
865,SG248,Sociology and Politics                            ,298,,328,
866,SG249,Writing and Literature                            ,308,,409,
867,SG252,Software Development                              ,310,,413,
868,SG253,Computing in Computer Networks and Cyber Security ,336,,374,
869,SG254,Writing and Literature Online                     ,327,,393,
870,SG255,Law and Business                                  ,291,,398,
871,SG341,General Engineering                               ,373,,467,
872,SG342,Civil Engineering                                 ,418,,498,
873,SG343,Quantity Surveying                                ,300,,385,
874,SG344,Mechanical Engineering                            ,412,,509,
875,SG346,Construction Project Management and Applied Techno,313,,362,
876,SG347,Architecture                                      ,403,,462,
877,SG348,Interior Architecture and Design                  ,359,,410,
878,SG349,Electronics and Self Driving Technologies         ,,,0,
879,SG350,Robotics and Automation                           ,384,,478,
880,SG442,Occupational Safety and Health                    ,307,,360,
881,SG443,Human Nutrition                                   ,376,,440,
882,SG444,Science Undenominated                             ,358,,430,
883,SG445,Pharmaceutical Science with Drug Development      ,357,,401,
884,SG447,Health Science and Physical Activity              ,326,,389,
885,SG448,Forensic Investigation and Analysis               ,308,,376,
886,SG449,Medical Biotechnology                             ,315,,403,
887,SG450,Environmental Science with Ecology (Level 8)      ,310,,430,
888,TL801,Animation  Visual Effects and Motion Design (Level,#718,,823,#
889,TL802,TV  Radio and New Media (Level 8)                 ,322,,413,
890,TL810,Computing with Software Development               ,308,,399,
891,TL811,Computing with Games Development                  ,322,,342,
892,TL815,Computing (Degree Award options)                  ,307,,453,
893,TL823,Event Management (3 year programme)               ,293,,369,
894,TL831,Business Studies (Major Specialism in: Acctng or M,306,,408,
895,TL842,Construction Management                           ,,,0,
896,TL844,Agricultural Engineering                          ,301,,392,
897,TL845,Civil Engineering                                 ,361,,395,
898,TL847,Manufacturing Engineering                         ,305,,338,
899,TL848,Agricultural Science                              ,307,,367,
900,TL851,Wildlife Biology (Degree Award options)           ,309,,400,
901,TL855,Pharmaceutical Science (Degree Award options)     ,316,,419,
902,TL858,Veterinary Bioscience                             ,317,,402,
903,TL871,Health and Leisure (Degree Award options)         ,303,,389,
904,TL872,Health and Leisure with Massage                   ,314,,381,
905,TL873,Coaching and Sports Performance                   ,308,,371,
906,TL874,Inclusive Sport and Physical Activity             ,341,,476,
907,TL880,Early Childhood Care and Education                ,309,,369,
908,TL881,Social Care                                       ,301,,377,
909,TL889,Counselling with Addiction - Mature applicants onl,,,0,#
910,TL890,General Nursing and Mature Applicants             ,463,,484,
911,TL891,Mental Health Nursing and Mature Applicants       ,440,419,430,
912,WD001,Applied Computing (options)                       ,270,261,423,
913,WD002,Science (options)                                 ,279,,388,
914,WD005,Health Sciences (options)                         ,271,,368,
915,WD006,Exercise Sciences (options)                       ,270,,357,
916,WD007,Engineering (options)                             ,270,270,432,
917,WD025,Construction Management and Engineering           ,262,,357,
918,WD027,Music                                             ,#321,,437,#
919,WD048,Business (options)                                ,279,,387,
920,WD084,Accounting                                        ,308,,476,
921,WD091,Hospitality Management                            ,225,,337,
922,WD116,General Nursing                                   ,446,,473,
923,WD117,Psychiatric Nursing                               ,415,,430,
924,WD120,Intellectual Disability Nursing                   ,390,,404,
925,WD134,International Business                            ,267,,368,
926,WD137,Design (Visual Communications)                    ,252,,360,
927,WD140,Laws                                              ,280,,394,
928,WD144,Architecture                                      ,309,,401,
929,WD147,Pharmaceutical Science                            ,288,,402,
930,WD150,Criminal Justice Studies                          ,280,,359,
931,WD152,Visual Art                                        ,243,,359,
932,WD161,Computer Forensics and Security                   ,270,,347,
933,WD162,Quantity Surveying                                ,226,,337,
934,WD163,Psychology                                        ,456,,487,
935,WD186,Sports Coaching and Performance                   ,261,,358,
936,WD187,Social Science                                    ,276,,367,
937,WD191,Agricultural Science                              ,377,,434,
938,WD192,Social Care Practice                              ,271,,336,
939,WD193,Marketing and Digital Media                       ,279,,358,
940,WD194,Culinary Arts                                     ,237,,321,
941,WD195,Architectural and Building Information Modelling T,279,,367,
942,WD200,Arts (options)                                    ,201,201,376,
943,WD210,Software Systems Development                      ,260,,373,
944,WD211,Creative Computing                                ,270,,392,
945,WD212,Recreation and Sport Management                   ,262,,304,
946,WD230,Mechanical and Manufacturing Engineering          ,230,230,361,
947,WD231,Early Childhood Care and Education                ,266,,366,
948,WD232,Business Information Systems                      ,261,261,329,
