,course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021
117,CK109,English - 3 years or 4 years (International Pathwa,367,357,462,
118,CK110,World Languages                                   ,488,,522,
119,CK111,Early Years and Childhood Studies                 ,409,403,445,
120,CK112,Theatre and Performative Practices - 3 or 4 years ,#371,,533,#
121,CK113,Criminology - 3 years or 4 years (International Pa,464,463,486,
122,CK114,Social Science (Youth and Community Work)         ,#,,,#
123,CK115,Social Work - Mature Applicants only              ,,,,
124,CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347,339,444,
125,CK120,Applied Psychology                                ,544,543*,555,
126,CK121,Psychology and Computing - 3 or 4 years (Work Expe,499,488,522,
127,CK122,Government and Political Science                  ,399,,465,
128,CK123,Anthropology                                      ,308,,429,
129,CK124,Education - Gaeilge                               ,473,,522,
130,CK125,Sports Studies and Physical Education             ,564,555*,589,
131,CK201,Commerce                                          ,500,499*,532,
132,CK202,Accounting                                        ,553,543*,566,
133,CK203,Business Information Systems                      ,455,452,490,
134,CK204,Finance                                           ,566*,566*,601,
135,CK205,Commerce (International) with French              ,465,,522,
136,CK206,Commerce (International) with German              ,466,455,521,
137,CK207,Commerce (International) with Italian             ,423,418,441,
138,CK208,Commerce (International) with Hispanic Studies    ,488,486,528,
139,CK209,Commerce (International) with Irish               ,507,,534,
140,CK211,Commerce (International) with Chinese Studies     ,385,,477,
141,CK212,Economics (through Transformational Learning) 3 or,445,444,474,
142,CK213,Food Marketing and Entrepreneurship               ,466,,498,
143,CK214,International Development                         ,332,,451,
144,CK301,Law (Pathways) -  3 or 4 years                    ,533,532*,556,
145,CK302,Law and French                                    ,545,,564,
146,CK304,Law and Irish                                     ,588,,601,
147,CK307,Law and Business                                  ,589*,589*,601,
148,CK401,Computer Science                                  ,503,495,531,
149,CK402,Biological and Chemical Sciences                  ,555*,555,577,
150,CK404,Biological  Earth and Environmental Sciences      ,500,495*,521,
151,CK405,Genetics                                          ,543,,554,
